CIN,altitude,longitude,Speed,RPM,ENGINE_LOAD,AmbientAirTemp,ThrottlePos,X,Y,Z,zone,acc_angX,acc_angY,acc_angZ,Angle_Rot,TargetValue,time,trip_id
3,34.76670588,10.652467199999998,110.0,3061.0,93.3,35.0,88.2,0.511,1.832,11.316,Nationale,2.553457490092065,9.19077334294176,80.49322093740156,3.3290842637773888,agressif,2020-11-09 14:58:28,0
3,34.76560904,10.65217116,112.0,3156.0,92.9,35.0,88.2,0.037000000000000005,2.067,9.41,Nationale,0.22013221863806096,12.393976730908218,77.6420516876656,3.0775524494112005,agressif,2020-11-09 14:58:32,0
3,34.76446211,10.65193207,115.0,3226.0,93.7,35.0,88.2,0.51,2.148,9.022,Nationale,3.1489350319504013,13.376999419105525,76.28196140103778,0.26107092150883204,agressif,2020-11-09 14:58:36,0
3,34.76328654,10.65175223,118.0,3304.0,94.1,35.0,88.2,1.67,1.198,8.539,Nationale,10.965767870275723,7.84301504412757,76.49914898796148,0.9602246987328726,agressif,2020-11-09 14:58:40,0
3,34.76220962,10.6515925,110.0,3056.0,80.4,35.0,36.9,0.142,2.331,9.861,Nationale,0.8032268577765769,13.304062822916007,76.70886580251887,2.510082605346668,agressif,2020-11-09 14:58:44,0
3,34.76118843,10.6514235,101.0,2831.0,29.0,35.0,27.8,-0.223,2.482,8.381,Nationale,-1.462062524068476,16.49789886253694,73.4717809970989,0.4428352244569851,agressif,2020-11-09 14:58:48,0
3,34.76016064,10.65120678,106.0,2956.0,92.5,35.0,88.2,1.725,2.545,9.402,Nationale,10.04709280982972,14.915057737916582,71.92230337580109,1.9914849575620792,agressif,2020-11-09 14:58:52,0
3,34.75908801,10.65098925,110.0,3085.0,92.9,35.0,88.2,0.34700000000000003,2.212,9.779,Nationale,1.9830435202828085,12.743383596749025,77.13614658123313,1.2731537114038645,agressif,2020-11-09 14:58:56,0
3,34.75799213,10.65072705,111.0,3078.0,92.9,35.0,87.8,1.062,1.966,9.69,Nationale,6.13317690989289,11.407383624515491,77.04721204545577,2.7111772287680083,agressif,2020-11-09 14:59:00,0
3,34.75694862,10.65045273,110.0,3104.0,78.4,35.0,36.5,1.436,1.986,9.669,Nationale,8.280752833527535,11.489336495448244,75.80897564519991,1.2201214379613816,agressif,2020-11-09 14:59:04,0
3,34.75582803,10.6501007,113.0,3158.0,90.2,35.0,47.1,0.992,1.883,8.517999999999999,Nationale,6.490202621697912,12.389548638735864,76.00333180068127,0.5299380199413974,agressif,2020-11-09 14:59:08,0
3,34.75471096,10.64972346,118.0,3308.0,89.4,35.0,45.1,0.67,1.523,11.061,Nationale,3.4354830839337507,7.828958771253247,81.47980588960867,0.8276148202558602,agressif,2020-11-09 14:59:12,0
3,34.75354811,10.64931874,120.0,3378.0,88.6,35.0,44.3,-0.015,1.914,9.549,Nationale,-0.08828476447433978,11.338939576408226,78.69875305649433,3.794408900855984,agressif,2020-11-09 14:59:16,0
3,34.75239379,10.64893559,117.0,3277.0,7.5,35.0,18.4,0.987,1.06,9.725,Nationale,5.763707759875821,6.1916079188969855,81.56353060885155,0.8304827852510073,agressif,2020-11-09 14:59:20,0
3,34.75139564,10.64852913,111.0,3116.0,90.6,34.0,65.1,1.181,2.089,10.917,Nationale,6.067606978445477,10.77595637180265,77.63547174133748,4.038593513670719,agressif,2020-11-09 14:59:24,0
3,34.75029017,10.64809754,113.0,3191.0,87.1,34.0,42.7,1.223,1.876,9.822,Nationale,6.97590373663594,10.736850111406914,77.18858330184926,1.5813788374356081,agressif,2020-11-09 14:59:28,0
3,34.74918001,10.64757123,115.0,3164.0,74.5,34.0,20.0,2.972,0.911,12.35,Nationale,13.501206028114636,4.103836293778324,75.90421862022775,1.5000416027176868,agressif,2020-11-09 14:59:32,0
3,34.74823518,10.64709093,101.0,2827.0,8.2,34.0,17.6,0.976,1.945,9.771,Nationale,5.597513995911108,11.2084534147961,77.47705351914347,0.7808144301565676,agressif,2020-11-09 14:59:36,0
