CIN,altitude,longitude,Speed,RPM,ENGINE_LOAD,AmbientAirTemp,ThrottlePos,X,Y,Z,zone,acc_angX,acc_angY,acc_angZ,Angle_Rot,TargetValue,time,trip_id
3,35.04536788,9.48948466,31.996392321779837,1667.831218754964,63.18160830453313,30.49999956442151,53.785362598399935,0.212,9.985,2.728,Nationale,1.1738187154896678,74.70680827898029,15.284025184779155,0.2720046480826426,agressif,2020-09-22 07:47:07,0
3,35.04528639,9.4903788,68.0,2404.0,102.70078799054892,31.0,97.21032441858341,-0.205,10.765,1.7990000000000002,Urbaine,-1.0764991034709843,80.48638765054064,9.48967142102492,0.3369150844578854,agressif,2020-09-22 07:47:11,0
3,35.04521092,9.49125277,76.0,2667.0,93.7,31.0,88.2,0.409,9.367,2.908,Urbaine,2.3888937403128807,72.62410680284847,17.238877930288215,0.8285667431408399,agressif,2020-09-22 07:47:15,0
3,35.04512753,9.49215643,77.0,2686.0,20.4,31.0,17.3,-0.028,8.426,2.297,Urbaine,-0.1837703153647448,74.7817293921268,15.25515516602128,8.252086208853783,agressif,2020-09-22 07:47:19,0
3,35.0450428,9.49294915,65.0,2292.0,0.0,31.0,17.3,-1.265,8.897,1.465,Nationale,-7.989481142479313,77.75920148720526,9.26297382627052,3.2322609361357166,agressif,2020-09-22 07:47:23,0
3,35.04507635,9.49384232,72.0,2572.0,92.9,31.0,58.8,0.311,10.469,1.6969999999999998,Nationale,1.6803700197191316,80.67601423971827,9.2073233375419,1.4901955985597084,agressif,2020-09-22 07:47:27,0
3,35.0451701,9.49483716,81.0,2848.0,87.5,31.0,32.5,0.198,11.014,2.701,Nationale,1.0006926023235123,76.21773500672516,13.782594974643125,0.07111333553120858,agressif,2020-09-22 07:47:31,0
3,35.04523923,9.49585296,84.0,2962.0,18.0,31.0,20.0,-0.102,9.516,2.56,Nationale,-0.5932854006190843,74.96301205668645,15.062798580538145,0.6854366289573051,agressif,2020-09-22 07:47:35,0
3,35.04530547,9.49680878,75.0,2609.0,0.0,31.0,16.9,-0.142,9.432,3.518,Nationale,-0.8084953531117072,69.55932706887783,20.461310263761305,3.950674898253993,agressif,2020-09-22 07:47:39,0
3,35.04537269,9.49763526,65.0,2264.0,0.0,31.0,16.1,-0.37,9.488,2.803,Nationale,-2.14269764929866,73.43757999759056,16.453627941171142,11.864732037086995,agressif,2020-09-22 07:47:43,0
