CIN,altitude,longitude,Speed,RPM,ENGINE_LOAD,AmbientAirTemp,ThrottlePos,X,Y,Z,zone,acc_angX,acc_angY,acc_angZ,Angle_Rot,TargetValue,time,trip_id
2,34.81667812,10.71275474,39.340476524314425,2931.6817221613733,-111.59458745036795,38.167704185460025,-55.102128137655576,-1.975,8.067,7.102,Urbaine,-10.416841541674588,47.59952314979546,40.55162053647336,55.92894295169549,normal,2020-10-05 18:14:00,0
2,34.81667409,10.7127589,38.006838442803456,2743.7675065933245,-187.80955615389243,38.520856197429794,-104.96469184446869,-1.39,7.636,6.454,Urbaine,-7.918215152112682,49.17451393842046,39.761756178444074,7.0204949164189685,normal,2020-10-05 18:14:04,0
2,34.81667854,10.71278013,36.12899744930728,2559.7140692217176,-231.90707612945096,39.025731962906704,-134.91726580511127,-0.205,8.035,5.665,Urbaine,-1.1950564782421484,54.82012187116047,35.19147603722128,38.99385605904086,normal,2020-10-05 18:14:09,0
2,34.72895517,10.73083402,34.23864958727232,1953.3006530318487,79.50185470763017,40.71363090736438,7.1051595955703215,-0.565,10.425999999999998,2.316,Urbaine,-3.0295152605783877,77.15323530844745,12.511667628931956,4.350546735848056,normal,2020-10-07 13:40:55,0
2,34.72918417,10.73120729,46.8501841941725,2597.8640791120833,31.3595478174154,40.286374139777216,-24.636847085644717,-0.08,10.233,2.869,Urbaine,-0.43147297168836907,74.36386692543373,15.667932100346365,4.294896899344067,normal,2020-10-07 13:40:59,0
2,34.72935857,10.73154695,44.0,2073.0,-10.912532981507098,40.0,-34.1604302240374,0.064,9.128,3.514,Urbaine,0.3750552887041394,68.97078284073524,21.06360314783473,2.8737764998274433,normal,2020-10-07 13:41:02,0
2,34.72949201,10.7318631,23.0,881.0,13.3,40.0,14.1,-0.134,10.189,1.128,Urbaine,-0.7492201795227257,83.67394515586639,6.319483111054086,1.405168513322664,normal,2020-10-07 13:41:06,0
2,34.72963588,10.73225817,38.0,3048.0,94.1,40.0,88.2,-0.588,9.606,1.993,Urbaine,-3.4313896800022907,77.82696385083482,11.704772710252351,3.3563803783810187,normal,2020-10-07 13:41:10,0
2,34.72984556,10.732792800000002,47.0,2291.0,52.5,40.0,23.1,0.431,9.862,2.821,Urbaine,2.407049002801533,73.89253850715899,15.955336712711446,1.2924233653314443,normal,2020-10-07 13:41:14,0
2,34.73003716,10.73338044,55.0,2649.0,28.6,40.0,21.6,-0.593,8.847000000000003,3.04,Urbaine,-3.6286812911200954,70.73495582119493,18.93227752596572,3.00909384163522,normal,2020-10-07 13:41:18,0
2,34.7302389,10.73395488,53.0,2568.0,31.4,40.0,21.2,0.253,9.764,2.643,Urbaine,1.4333540282015391,74.81925737310084,15.147874748581787,0.4435067041099927,normal,2020-10-07 13:41:22,0
2,34.7304174,10.73456365,54.0,2616.0,29.8,40.0,21.2,0.527,9.428,2.681,Urbaine,3.078887131897115,73.86922991418497,15.857138047901833,0.17010496712518375,normal,2020-10-07 13:41:26,0
2,34.73059577,10.73518989,54.0,2643.0,20.8,40.0,16.9,-0.043,9.37,2.274,Urbaine,-0.2556260269772959,76.38858544278504,13.646973202893276,0.03712207597111217,normal,2020-10-07 13:41:30,0
2,34.73077133,10.73579939,54.0,2604.0,28.2,40.0,21.2,-1.23,9.398,2.763,Urbaine,-7.159899688552157,72.19157906799937,16.258940433158553,0.11201639401072327,normal,2020-10-07 13:41:34,0
2,34.73094477,10.736403,53.0,2560.0,16.5,40.0,19.6,0.196,9.593,3.008,Urbaine,1.117347161470144,72.58654864020973,17.413385800379654,2.094660174865325,normal,2020-10-07 13:41:38,0
2,34.73111664,10.73699677,52.0,2522.0,16.1,40.0,16.9,-0.55,9.229,3.063,Urbaine,-3.238626761710799,71.39623404158989,18.33782463390094,0.5646270693268036,normal,2020-10-07 13:41:42,0
2,34.73130555,10.73757006,52.0,2515.0,14.9,40.0,19.2,1.456,9.892,3.761,Urbaine,7.836945203074476,67.84780953569425,20.62267569601295,0.4975509899185795,normal,2020-10-07 13:41:46,0
2,34.73148447,10.73813159,51.0,2471.0,15.3,40.0,19.2,-0.16399999999999998,9.297,2.857,Urbaine,-0.9664312800674674,72.92196029903435,17.08709038059925,1.8449870858188009,normal,2020-10-07 13:41:50,0
2,34.73164928,10.73863372,42.0,2013.0,0.0,40.0,15.3,-1.0,9.535,4.307,Urbaine,-5.461958108096047,65.14944987936065,24.201767480080505,0.8041786248619758,normal,2020-10-07 13:41:54,0
2,34.73177733,10.73898523,22.0,1021.0,7.5,40.0,15.3,0.747,8.148,1.891,Urbaine,5.105441841930065,76.02105112763647,13.018777495603967,1.0227894572685443,normal,2020-10-07 13:41:58,0
2,34.73190351,10.73931705,34.0,2574.0,0.0,40.0,16.5,-0.28300000000000003,9.78,2.26,Urbaine,-1.6156308125306138,76.92265274903211,13.0119694451473,1.4812937055758653,normal,2020-10-07 13:42:02,0
2,34.73206023,10.73975242,41.0,1973.0,26.7,40.0,18.4,0.242,9.37,2.512,Urbaine,1.429619347609395,74.95783944748078,15.009073015660881,3.4065359382974094,normal,2020-10-07 13:42:06,0
2,34.73221634,10.74022401,43.0,2073.0,55.7,40.0,29.8,0.023,9.325,1.093,Urbaine,0.14041752558897014,83.34851490775151,6.688043190885072,0.14202764413252567,normal,2020-10-07 13:42:10,0
2,34.73235981,10.74076285,48.0,2315.0,71.0,40.0,29.8,-0.333,10.097,2.053,Urbaine,-1.8518687093511812,78.39384543728701,11.49192231090973,0.5926564382261432,normal,2020-10-07 13:42:14,0
2,34.73249811,10.7412875,47.0,2262.0,23.1,40.0,26.3,-2.005,8.744,3.562,Urbaine,-11.994084307440513,64.97294622032264,21.66521879313045,0.3190965505857264,normal,2020-10-07 13:42:18,0
2,34.73261966,10.74176875,45.0,2052.0,88.6,40.0,87.8,-0.8909999999999999,9.411,2.016,Urbaine,-5.291382953766005,76.85100981361512,12.043849768151127,0.3310989603963321,normal,2020-10-07 13:42:22,0
2,34.73275645,10.74232333,52.0,2172.0,38.8,40.0,20.8,-0.514,9.149,3.102,Urbaine,-3.046893382781096,71.06338552017243,18.709875075449244,2.8964492675896167,normal,2020-10-07 13:42:26,0
2,34.73289569,10.74290221,46.0,2233.0,0.0,39.0,15.7,-0.227,9.805,3.552,Urbaine,-1.2474966464323711,70.07855367166964,19.917136614487454,10.32264592959588,normal,2020-10-07 13:42:30,0
2,34.73298783,10.74339322,40.0,1911.0,0.0,39.0,15.3,-1.6840000000000002,9.271,4.583,Urbaine,-9.252350966276977,62.25265511439695,25.94826026329861,52.317650032595786,normal,2020-10-07 13:42:34,0
2,34.73311034,10.74371319,27.0,953.0,7.1,39.0,14.5,-4.049,9.117,3.334,Urbaine,-22.65063046643775,60.113661288767005,18.488108798328184,42.44289570431332,normal,2020-10-07 13:42:38,0
2,34.73346039,10.74381842,28.0,2240.0,60.4,39.0,26.7,2.307,10.243,1.035,Urbaine,12.635864205332009,76.16568076864965,5.6321416293681015,4.2871385755577895,normal,2020-10-07 13:42:43,0
2,34.73368304,10.74419154,35.0,2857.0,79.6,39.0,32.5,-0.727,9.836,1.681,Urbaine,-4.168731255209819,79.48585309684175,9.676516796116072,1.2530295071090904,normal,2020-10-07 13:42:47,0
2,34.73393258,10.7446912,51.0,2475.0,38.4,39.0,22.0,-1.03,10.03,3.977,Urbaine,-5.455321601435638,67.75498151398007,21.535167443396624,0.14953713490351814,normal,2020-10-07 13:42:51,0
2,34.73419026,10.74518011,47.0,2293.0,32.5,39.0,21.2,-0.593,9.109,2.582,Urbaine,-3.5854325275297527,73.81488052398733,15.800612694180806,8.664835514338646,normal,2020-10-07 13:42:55,0
2,34.73442055,10.74561983,40.0,1930.0,0.0,39.0,15.3,0.508,9.509,4.354,Urbaine,2.782037065904869,65.27844769046493,24.581687934968077,26.50982265106161,normal,2020-10-07 13:42:59,0
2,34.73453412,10.74595009,28.0,1340.0,0.0,39.0,14.9,-0.175,9.417,0.762,Urbaine,-1.061609586318696,85.28999960824562,4.627311554423281,2.891619361125493,normal,2020-10-07 13:43:03,0
2,34.73448899,10.74629138,28.0,2488.0,0.0,39.0,14.9,-0.85,9.544,0.894,Urbaine,-5.069478115287575,82.67013625239964,5.332639008663008,2.4044530291051416,normal,2020-10-07 13:43:07,0
2,34.73439991,10.74677558,43.0,3265.0,73.3,39.0,31.0,1.4,8.901,2.635,Urbaine,8.580109915141302,71.49783251500155,16.30786710256973,0.6074533817466516,normal,2020-10-07 13:43:11,0
2,34.73432339,10.74731868,46.0,2256.0,62.4,39.0,29.0,-0.693,9.298,4.226,Urbaine,-3.883357404874034,65.29788709280263,24.39267839705716,3.730792339663082,normal,2020-10-07 13:43:15,0
2,34.73426042,10.74773371,40.0,1950.0,11.4,39.0,14.1,-0.769,8.382,2.421,Urbaine,-5.039235104761545,73.171284833004,16.053356381410143,19.292660033458787,normal,2020-10-07 13:43:19,0
2,34.73421974,10.74791938,14.0,836.0,18.0,39.0,13.7,-0.983,8.969,2.906,Urbaine,-5.954869806162781,71.14732952069417,17.860064825615805,23.024842672222466,normal,2020-10-07 13:43:23,0
2,34.73413148,10.74806256,19.0,1497.0,61.2,39.0,23.9,-3.007,9.086,1.656,Urbaine,-18.042107540068926,69.33191222308194,9.820779007852636,71.79202079804611,normal,2020-10-07 13:43:27,0
2,34.734100500000004,10.74826678,18.0,1434.0,19.6,39.0,15.7,-2.599,8.859,3.774,Urbaine,-15.110788185479045,62.67608404150639,22.24311411612184,30.432998530441974,normal,2020-10-07 13:43:31,0
2,34.73424591,10.74834034,17.0,1311.0,8.6,39.0,14.9,-0.197,9.681,1.787,Urbaine,-1.1468817884099165,79.51323777291266,10.460715454224852,20.871162495272642,normal,2020-10-07 13:43:35,0
2,34.73447501,10.74832593,23.0,1875.0,70.6,39.0,25.5,0.198,9.547,2.266,Urbaine,1.1564969029637189,76.63114337671827,13.355069066671867,3.1468355064667684,normal,2020-10-07 13:43:39,0
2,34.73478495,10.7484223,30.0,2389.0,8.6,39.0,17.3,-0.664,9.488,3.899,Urbaine,-3.7051916037164334,67.39934209482855,22.299986173507858,9.362883462720653,normal,2020-10-07 13:43:43,0
2,34.73506042,10.74852485,26.0,2086.0,12.5,39.0,18.0,-0.613,9.629,2.8710000000000004,Urbaine,-3.4926369037980036,73.07533546861207,16.577874952192325,12.609430405989775,normal,2020-10-07 13:43:47,0
2,34.73525915,10.74863858,15.0,1093.0,0.0,39.0,15.3,0.135,9.244,4.062,Urbaine,0.7663329855743425,66.29470768125802,23.72943181515178,11.320566027761785,normal,2020-10-07 13:43:51,0
2,34.73529426,10.74867063,1.0,1877.0,48.6,39.0,18.0,-0.466,9.458,2.457,Urbaine,-2.7313846904360553,75.22108567588897,14.551666941860427,5.936617233177589,normal,2020-10-07 13:43:55,0
2,34.73529977,10.74867395,0.0,1494.0,1.2,39.0,15.3,-0.472,9.432,2.612,Urbaine,-2.7622480915338907,74.3140176857685,15.467101727100394,10.794024504553,normal,2020-10-07 13:43:59,0
2,34.7353031,10.74867646,0.0,1258.0,22.0,39.0,16.5,-0.594,9.682,1.626,Urbaine,-3.4638477905897616,79.89662820034721,9.519779772291072,3.0684578461054737,normal,2020-10-07 13:44:03,0
2,34.73535694,10.74873584,7.0,1251.0,28.6,39.0,17.3,-0.331,9.651,3.305,Urbaine,-1.8592160216148808,71.03836158342263,18.901514571489894,21.17737453307069,normal,2020-10-07 13:44:07,0
