CIN,altitude,longitude,Speed,RPM,ENGINE_LOAD,AmbientAirTemp,ThrottlePos,X,Y,Z,zone,acc_angX,acc_angY,acc_angZ,Angle_Rot,TargetValue,time,trip_id
2,34.775742,10.65751534,60.0,2912.0,82.4,36.0,35.7,-1.276,3.742,9.211,Nationale,-7.316638558845137,21.92963835276226,66.79810294756156,2.2145126177877046,normal,2020-09-01 23:10:45,0
2,34.77520227,10.65702076,67.0,3005.0,88.6,36.0,36.1,-1.385,3.676,9.628,Nationale,-7.657309308282957,20.710981061011232,67.83303620758252,2.5322964495692593,normal,2020-09-01 23:10:49,0
2,34.77458163,10.65649468,78.0,2748.0,65.9,36.0,28.6,-1.53,3.236,8.54,Nationale,-9.514619856691773,20.46336345796342,67.28785062565078,2.5842254220386565,normal,2020-09-01 23:10:53,0
2,34.77389475,10.65596277,83.0,2918.0,73.7,36.0,35.7,-1.5659999999999998,3.214,8.755,Nationale,-9.535777944224623,19.87669203108388,67.8153930345467,1.6302454269719249,normal,2020-09-01 23:10:57,0
2,34.77316104,10.65544578,84.0,2369.0,67.5,35.0,29.4,-1.585,2.792,8.372,Nationale,-10.185944391863833,18.150189341477468,69.0481578375085,2.774535736651273,normal,2020-09-01 23:11:01,0
2,34.77259559,10.65507096,86.0,2400.0,53.7,35.0,25.1,-1.531,2.8110000000000004,8.873,Nationale,-9.344819423740637,17.345201572770367,70.19301995927036,2.17728130719874,normal,2020-09-01 23:11:04,0
2,34.77181944,10.65460893,86.0,2428.0,55.3,35.0,24.7,-1.121,2.555,9.36,Nationale,-6.593390547405994,15.171147225554588,73.432354114728,1.7446586965799609,normal,2020-09-01 23:11:08,0
2,34.77102725,10.65417724,87.0,2432.0,54.9,35.0,25.1,-1.569,2.74,8.779,Nationale,-9.685854526370402,17.086279555585662,70.2482025527919,3.6238368962479233,normal,2020-09-01 23:11:12,0
2,34.77023357,10.65377558,88.0,2455.0,54.5,35.0,25.1,-1.414,3.427,10.062,Nationale,-7.580482114248157,18.645809121251556,69.80363127740193,1.3186409386561024,normal,2020-09-01 23:11:16,0
2,34.76941663,10.65342512,87.0,2461.0,45.1,35.0,23.1,-1.148,2.592,8.451,Nationale,-7.40275373557442,16.912116071495735,71.48641688015498,1.8047511192632728,normal,2020-09-01 23:11:20,0
2,34.76860074,10.65309713,87.0,2439.0,47.5,35.0,23.5,-1.305,3.042,9.976,Nationale,-7.135134862463199,16.83010833445674,71.67409340503106,1.652549290955875,normal,2020-09-01 23:11:24,0
2,34.76776151,10.65279009,88.0,2459.0,59.2,35.0,25.9,-1.287,3.144,9.501,Nationale,-7.331181580106523,18.162907070602238,70.35448216381137,2.4908267312497685,normal,2020-09-01 23:11:28,0
2,34.76688196,10.65249677,89.0,2478.0,59.2,35.0,25.9,-1.176,3.132,8.677,Nationale,-7.267970417981898,19.689643184806837,68.94448649554565,3.439191185658132,normal,2020-09-01 23:11:32,0
2,34.76599479,10.65224318,90.0,2511.0,57.3,35.0,25.5,-1.369,2.951,9.727,Nationale,-7.673717664234344,16.72846616302227,71.53830019942458,0.8587309605312612,normal,2020-09-01 23:11:36,0
2,34.76510375,10.65204543,90.0,2533.0,56.9,35.0,25.5,-1.063,3.1180000000000003,9.47,Nationale,-6.088390647655047,18.125517397265693,70.84926630638172,2.153705362306283,normal,2020-09-01 23:11:40,0
2,34.76421607,10.65186234,92.0,2551.0,56.5,35.0,25.5,-1.088,2.738,8.298,Nationale,-7.10053917896749,18.123624832220234,70.48210022887038,0.5180475533449282,normal,2020-09-01 23:11:44,0
2,34.76329884,10.65170884,91.0,2554.0,42.0,35.0,23.1,-1.108,2.901,9.132,Nationale,-6.598999965452019,17.510657907581027,71.24918856169958,0.5616190907115595,normal,2020-09-01 23:11:48,0
2,34.76240715,10.65156789,89.0,2488.0,11.4,35.0,16.9,-1.284,2.424,9.847,Nationale,-7.219166782972492,13.723437390784,74.46527180087014,0.2447374841639771,normal,2020-09-01 23:11:52,0
2,34.76153981,10.65143949,86.0,2427.0,35.7,35.0,22.0,-1.036,2.6,9.162,Nationale,-6.2108724968214855,15.754250066118715,73.04403030665105,2.7248828508846543,normal,2020-09-01 23:11:56,0
2,34.76070776,10.65131268,82.0,2331.0,15.7,35.0,18.8,-0.574,3.091,8.43,Nationale,-3.659386660838112,20.1020056223137,69.57714032671946,0.1993615843850023,normal,2020-09-01 23:12:00,0
2,34.75987882,10.65114568,82.0,2300.0,49.8,35.0,23.9,-0.782,3.065,9.209,Nationale,-4.608404091400309,18.354982689032248,71.07301940679993,1.5778765362462934,normal,2020-09-01 23:12:04,0
2,34.75905214,10.65097614,83.0,2333.0,47.5,35.0,23.9,-1.249,3.028,8.981,Nationale,-7.510510464782664,18.47415246710805,69.99203334409678,2.098636951749341,normal,2020-09-01 23:12:08,0
2,34.75825463,10.65078956,84.0,2354.0,52.2,35.0,25.9,-1.112,3.096,11.482,Nationale,-5.344316644453738,15.029577878564599,74.04404259471444,0.6716008385636769,normal,2020-09-01 23:12:12,0
2,34.75744210000001,10.65056779,84.0,2354.0,52.2,35.0,25.5,-0.976,2.857,9.501,Nationale,-5.620745592461104,16.66059537141362,72.40202285512362,1.9036105908871548,normal,2020-09-01 23:12:16,0
2,34.75681312,10.65038817,85.0,2381.0,54.9,35.0,25.1,-1.143,3.447,9.255,Nationale,-6.604504000674459,20.294856168027266,68.60447139354471,1.4858904464758496,normal,2020-09-01 23:12:19,0
2,34.75597749,10.65011921,87.0,2431.0,64.3,35.0,26.7,-1.054,3.014,9.588,Nationale,-5.9892384041798685,17.359738774489596,71.61156206595375,0.10655491108411752,normal,2020-09-01 23:12:23,0
2,34.75512995,10.64982195,89.0,2496.0,65.1,35.0,27.1,-1.104,3.305,9.352,Nationale,-6.353770422352536,19.347378483792202,69.59423253401732,0.3056611708606169,normal,2020-09-01 23:12:27,0
2,34.75425203,10.649512199999998,91.0,2559.0,51.4,35.0,24.7,-1.384,2.93,8.326,Nationale,-8.915211599625207,19.152349698141986,68.76339054840228,0.8806981390850694,normal,2020-09-01 23:12:31,0
2,34.75335806,10.64920214,93.0,2593.0,51.0,35.0,24.7,-0.964,2.277,10.221,Nationale,-5.2619831369455925,12.510621132690025,76.43263904236099,0.1685259069514018,normal,2020-09-01 23:12:35,0
2,34.75250459,10.64889135,88.0,2456.0,0.0,35.0,16.5,-1.095,2.678,9.445,Nationale,-6.3670192713616105,15.736511950239462,72.99983127909833,0.8729649370908135,normal,2020-09-01 23:12:39,0
2,34.75169962,10.6486009,84.0,2353.0,22.0,35.0,18.8,-1.089,2.951,9.983,Nationale,-5.974552670392293,16.38283750590516,72.54163504138089,1.9900423082550558,normal,2020-09-01 23:12:43,0
2,34.75091866,10.64830559,83.0,2316.0,41.2,35.0,22.7,-0.602,2.206,6.877999999999999,Nationale,-4.7662398246193165,17.726757116063304,71.64032535496874,1.7696912730087604,normal,2020-09-01 23:12:47,0
2,34.7501594,10.64798793,81.0,2254.0,38.0,35.0,22.0,-0.73,2.906,9.116,Nationale,-4.3648376067504735,17.635780224130333,71.83546613663438,3.0736740370628297,normal,2020-09-01 23:12:51,0
2,34.74941863,10.64765076,79.0,2228.0,56.1,35.0,25.9,-1.527,3.486,10.257,Nationale,-8.026692505456376,18.58847261594339,69.67248362143279,1.0943495436182786,normal,2020-09-01 23:12:55,0
2,34.74867305,10.64726186,80.0,2273.0,59.2,35.0,25.9,-0.865,2.955,9.439,Nationale,-5.000229158481781,17.32252570577124,71.96408404032836,0.41514669449455255,normal,2020-09-01 23:12:59,0
2,34.74792822,10.64685507,82.0,2311.0,60.4,35.0,25.9,-1.177,2.5810000000000004,8.33,Nationale,-7.689804182825442,17.06304126108017,71.22429716653599,1.238827836039718,normal,2020-09-01 23:13:03,0
2,34.74716452,10.64644513,84.0,2343.0,55.7,35.0,25.1,-0.583,2.248,6.393,Nationale,-4.919116435698184,19.307469166236125,70.06517686368458,1.2133786208255801,normal,2020-09-01 23:13:07,0
