CIN,altitude,longitude,Speed,RPM,ENGINE_LOAD,AmbientAirTemp,ThrottlePos,X,Y,Z,zone,acc_angX,acc_angY,acc_angZ,Angle_Rot,TargetValue,time,trip_id
2,34.72568274,10.72380017,11.902629018649918,740.8893255695984,27.757866745772944,39.1412494344836,13.96059290588513,0.003,7.3610000000000015,4.834,Urbaine,0.01952680830733746,56.73089023964186,33.30714796329048,7.9314105997252895,normal,2020-09-06 16:34:44,0
2,34.72591977,10.72411052,23.928214465957268,1222.3604255447694,28.945395187819337,37.8597296781271,13.888107095818519,-0.023,7.372999999999998,7.501,Urbaine,-0.1253442642842239,44.52562602329579,45.51214529239211,8.105248578618593,normal,2020-09-06 16:34:48,0
2,34.72610523,10.72443913,35.0,1690.0,25.56022603595606,37.0,14.321567737842647,0.56,6.417999999999998,7.247000000000001,Urbaine,3.31221182644745,41.461236517327656,48.38422381294588,3.0734238942722816,normal,2020-09-06 16:34:52,0
2,34.7262695,10.72485972,35.0,1712.0,23.1,37.0,15.3,0.257,7.146,7.485,Urbaine,1.4232280275715632,43.67429141279628,46.32838532287479,1.4124924249887272,normal,2020-09-06 16:34:56,0
2,34.72643213,10.72521811,32.0,1518.0,19.2,37.0,16.1,-0.767,6.6179999999999986,7.125,Urbaine,-4.511713221523708,42.740738645789946,46.94196191238166,0.9678511678486856,normal,2020-09-06 16:35:00,0
2,34.72657999,10.7255237,26.0,1218.0,0.0,37.0,14.9,-0.604,7.599,6.596,Urbaine,-3.4365328241724287,48.94395394434128,40.88625558361892,1.917112630605324,normal,2020-09-06 16:35:04,0
2,34.72670539,10.72577208,26.0,1021.0,3.9,37.0,14.9,0.196,6.14,7.711,Urbaine,1.139628326273489,38.53635261666777,51.478447890211676,92.51537039863796,normal,2020-09-06 16:35:08,0
2,34.72676113,10.72587387,2.0,851.0,14.5,37.0,14.5,0.033,6.171,8.417,Urbaine,0.1812385770655032,36.26245750061942,53.77498707310489,71.1729382849218,normal,2020-09-06 16:35:12,0
2,34.72675623,10.72587628,0.0,843.0,16.5,38.0,14.5,-0.303,6.86,6.9510000000000005,Urbaine,-1.7778289055962848,44.614148578208464,45.36876888061056,54.69825652553243,normal,2020-09-06 16:35:16,0
2,34.72675761,10.72588696,0.0,848.0,15.7,38.0,14.1,1.6840000000000002,5.605,7.8439999999999985,Urbaine,9.912360964372096,34.9544604718987,53.29542061904048,123.49882497388056,normal,2020-09-06 16:35:20,0
2,34.72675391,10.72589037,0.0,842.0,15.3,38.0,14.1,0.19,6.925,6.567,Urbaine,1.1410068405580038,46.52763493950798,43.48766875500639,94.37451676598072,normal,2020-09-06 16:35:24,0
2,34.72675594,10.72589087,0.0,845.0,15.7,38.0,14.1,1.067,5.9289999999999985,7.856,Urbaine,6.189900462004932,36.80629303876772,52.539995825702064,27.620174559643825,normal,2020-09-06 16:35:28,0
2,34.72675641,10.72588805,0.0,844.0,15.7,38.0,14.1,1.345,5.6370000000000005,7.974,Urbaine,7.845495949960044,34.89416864098064,54.014412192542935,11.894234300599296,normal,2020-09-06 16:35:32,0
2,34.72675706,10.72588719,0.0,844.0,15.3,38.0,14.1,0.939,5.7810000000000015,7.834,Urbaine,5.5111962595941675,36.24527634646314,53.24040001536331,74.5226689130984,normal,2020-09-06 16:35:36,0
2,34.72675806,10.72588632,0.0,838.0,15.7,38.0,14.1,1.217,5.658,7.842,Urbaine,7.1761346273467534,35.502548662108175,53.59527993028488,29.76800314237681,normal,2020-09-06 16:35:40,0
2,34.72675945,10.72588724,0.0,841.0,15.3,38.0,14.1,0.884,5.556,8.243,Urbaine,5.083975903080521,33.843645065079,55.70982157531399,17.180011909558687,normal,2020-09-06 16:35:44,0
2,34.72675991,10.72588727,0.0,841.0,15.3,38.0,14.5,0.981,5.525,8.152000000000001,Urbaine,5.691176751214835,33.950683621361904,55.481927937137776,72.51992251434496,normal,2020-09-06 16:35:48,0
2,34.72676037,10.72588716,0.0,833.0,29.0,38.0,20.8,1.719,6.037000000000001,7.66,Urbaine,10.000142174475789,37.57595638300377,50.68859769292264,2.5955500015203232,normal,2020-09-06 16:35:52,0
