CIN,altitude,longitude,Speed,RPM,ENGINE_LOAD,AmbientAirTemp,ThrottlePos,X,Y,Z,zone,acc_angX,acc_angY,acc_angZ,Angle_Rot,TargetValue,time,trip_id
2,34.66689760000001,10.6811233,39.0,3092.0,36.5,36.0,21.2,-0.8909999999999999,8.802999999999997,1.676,Urbaine,-5.68062608553716,77.8649695783523,10.730525874863405,1.9955306988648969,normal,2020-10-11 21:09:16,0
2,34.6671789,10.68151917,45.0,2170.0,39.2,36.0,22.4,-0.8140000000000001,9.236,2.716,Urbaine,-4.835094651019638,72.96488089237488,16.333857329413846,1.5579141636362408,normal,2020-10-11 21:09:20,0
2,34.66749188,10.68192864,49.0,2351.0,66.7,36.0,29.8,-1.253,9.484,3.0980000000000003,Urbaine,-7.161141153085469,70.61933713983167,17.95168176807725,1.1391141793769322,normal,2020-10-11 21:09:24,0
2,34.66781075,10.6823702,49.0,2404.0,31.4,36.0,21.2,-1.042,9.635,2.556,Urbaine,-5.970075462453908,74.04533514323495,14.781261141858675,0.24967930451882125,normal,2020-10-11 21:09:28,0
2,34.66813317,10.68283591,51.0,2471.0,33.7,36.0,21.6,-1.5419999999999998,10.306,3.567,Urbaine,-8.051234956452385,69.36960266016621,18.904002336577246,2.9241696150415777,normal,2020-10-11 21:09:32,0
2,34.66847946,10.68333147,52.0,2530.0,35.7,36.0,22.0,-1.067,9.191,3.013,Urbaine,-6.297817337640773,70.85381649317023,18.04462009849936,3.0030107950053804,normal,2020-10-11 21:09:36,0
2,34.6688474,10.68380463,54.0,2612.0,46.3,36.0,23.5,-1.6980000000000002,9.082,2.884,Urbaine,-10.108013198309038,69.80053144054698,17.342692558934093,0.12781419525584425,normal,2020-10-11 21:09:40,0
2,34.66918543,10.68428979,53.0,2556.0,23.9,36.0,20.8,-0.541,9.35,2.391,Urbaine,-3.209833333059138,75.34035371451384,14.327471432591611,1.0128216723392072,normal,2020-10-11 21:09:44,0
2,34.66953978,10.6848008,54.0,2642.0,36.5,36.0,22.4,-0.472,9.524,2.462,Urbaine,-2.7482061070823587,75.28532062487933,14.483044737058716,1.5153929971923716,normal,2020-10-11 21:09:48,0
2,34.66988712,10.68528326,54.0,2600.0,21.6,36.0,20.4,-0.29600000000000004,9.981,2.841,Urbaine,-1.6345159270996783,74.06114853840656,15.888600117169306,2.134344007563733,normal,2020-10-11 21:09:52,0
