CIN,altitude,longitude,Speed,RPM,ENGINE_LOAD,AmbientAirTemp,ThrottlePos,X,Y,Z,zone,acc_angX,acc_angY,acc_angZ,Angle_Rot,TargetValue,time,trip_id
1,34.72489815,10.72004141,16.0,1282.0,25.5,44.0,16.5,-0.971,3.1830000000000003,8.986,Urbaine,-5.818309725177365,19.40881485691553,69.70820535698839,16.721487347844572,timid,2020-08-26 19:26:25,0
1,34.72475399,10.72011761,16.0,1201.0,18.8,44.0,15.3,-1.665,3.884,9.112,Urbaine,-9.545832495610453,22.758333216941573,65.14726517517643,5.952958637226543,timid,2020-08-26 19:26:29,0
1,34.7246547,10.72021546,19.0,1514.0,65.5,44.0,20.8,-1.47,3.144,9.105,Urbaine,-8.680504142894359,18.83171448483152,69.16316752999529,2.010534081545956,timid,2020-08-26 19:26:32,0
1,34.72449153,10.72034585,20.0,1596.0,20.0,44.0,16.5,-1.6130000000000002,3.238,9.249,Urbaine,-9.351111513709775,19.03666309553799,68.66730691095721,0.06797212956985277,timid,2020-08-26 19:26:36,0
1,34.72430714,10.72048288,22.0,1716.0,33.7,44.0,20.8,-1.4780000000000002,3.14,9.027,Urbaine,-8.794445760101416,18.954051116572174,68.99974170003559,44.882085134483525,timid,2020-08-26 19:26:40,0
1,34.72413763,10.72060854,21.0,1615.0,9.0,44.0,15.3,-0.512,2.0780000000000003,9.78,Urbaine,-2.9327142209525205,11.984631939239767,77.68942569828226,39.229718587954665,timid,2020-08-26 19:26:44,0
1,34.72407570000001,10.72059947,8.0,837.0,48.2,44.0,26.7,-1.104,3.342,8.812999999999997,Urbaine,-6.683464326491009,20.62861540489517,68.25866949093536,8.04720421048927,timid,2020-08-26 19:26:48,0
1,34.72401848,10.72053689,16.0,2357.0,60.8,44.0,25.1,-0.982,2.802,9.389,Urbaine,-5.725639604059018,16.538682567645512,72.48204355611063,3.731814794511593,timid,2020-08-26 19:26:52,0
1,34.723878899999995,10.72033297,23.0,1823.0,62.7,44.0,24.3,-1.167,3.655,8.998,Urbaine,-6.85473919168007,21.95020873137029,66.93468328848526,1.884362474351548,timid,2020-08-26 19:26:56,0
1,34.72371207,10.72005154,30.0,2381.0,48.6,44.0,20.0,-1.199,3.528,9.418,Urbaine,-6.801536879671232,20.393810434677754,68.44298675557104,1.6863823977322738,timid,2020-08-26 19:27:00,0
1,34.72354469,10.71974676,30.0,2426.0,29.8,44.0,20.8,-1.3130000000000002,3.417,8.931000000000003,Urbaine,-7.8216553933901745,20.74197594438531,67.74119214392076,0.7503826141666821,timid,2020-08-26 19:27:04,0
1,34.72337103,10.71940723,33.0,2588.0,31.0,44.0,20.4,-1.133,3.114,9.186,Urbaine,-6.665376514877142,18.603098871801837,70.19351199485635,0.8971687609965215,timid,2020-08-26 19:27:08,0
1,34.72320324,10.7190683,33.0,2598.0,25.5,44.0,19.6,-0.38,2.5780000000000003,7.797999999999999,Urbaine,-2.650168307329705,18.281245374473862,71.55216542310599,2.017369037794225,timid,2020-08-26 19:27:12,0
1,34.72303194,10.71873549,33.0,2611.0,9.8,44.0,16.9,-0.977,2.813,9.264,Urbaine,-5.764782278116077,16.81004685770284,72.21095014037826,2.2004188942686937,timid,2020-08-26 19:27:16,0
1,34.72290243,10.71846049,16.0,2463.0,0.0,44.0,15.3,-1.055,2.712,9.538,Urbaine,-6.075590626159022,15.787640296095796,73.06428993193325,5.485325516967095,timid,2020-08-26 19:27:20,0
1,34.72283698,10.71830643,17.0,1370.0,44.7,44.0,20.0,-1.602,3.4810000000000003,9.053,Urbaine,-9.382749871920435,20.74697953852068,67.08645230271485,76.17149522196266,timid,2020-08-26 19:27:24,0
1,34.7227842,10.71813936,15.0,1185.0,0.0,44.0,14.9,-2.854,2.806,8.865,Urbaine,-17.070120429253322,16.774459860139366,65.72956001110559,73.33798958170149,timid,2020-08-26 19:27:28,0
1,34.72266092,10.71814734,13.0,965.0,27.8,44.0,14.9,-1.764,3.174,9.273,Urbaine,-10.207100896540977,18.593283382861568,68.64400202826756,57.388406846659784,timid,2020-08-26 19:27:32,0
1,34.72262637,10.71829749,13.0,1031.0,27.8,44.0,16.9,-2.8110000000000004,3.168,8.376,Urbaine,-17.434427725974974,19.734626812395792,63.2032819403641,0.13649080697836524,timid,2020-08-26 19:27:36,0
1,34.72272589,10.71839901,16.0,1273.0,28.2,44.0,17.3,-0.371,3.455,9.788,Urbaine,-2.047871969967606,19.43748587884872,70.48428643251155,17.445088896025155,timid,2020-08-26 19:27:39,0
1,34.72291412,10.71859194,27.0,2120.0,37.6,44.0,21.6,-0.711,3.817,9.373,Urbaine,-4.02035925509005,22.10978706857414,67.52732675104606,0.0656739491679943,timid,2020-08-26 19:27:43,0
1,34.72307011,10.7189001,31.0,2448.0,27.8,44.0,20.4,-1.263,3.292,9.216,Urbaine,-7.3569274254440735,19.496958398538503,69.0927568556061,4.702864836818861,timid,2020-08-26 19:27:47,0
1,34.72323957,10.71923392,33.0,2606.0,27.8,44.0,20.8,-1.144,3.406,9.143,Urbaine,-6.690306757551963,20.295062849003124,68.57528805677086,2.9330315610719784,timid,2020-08-26 19:27:51,0
1,34.72344295,10.71956429,34.0,2667.0,26.3,44.0,20.0,-0.524,3.004,8.807,Urbaine,-3.224423109151658,18.811152748880502,70.93193516068595,1.865494577826624,timid,2020-08-26 19:27:55,0
1,34.72362751,10.71990162,32.0,2577.0,24.7,44.0,20.0,-1.206,3.047,9.033,Urbaine,-7.213069171657459,18.495274796203198,70.0898830000879,0.4907619772605187,timid,2020-08-26 19:27:59,0
1,34.72379083,10.72022468,34.0,2672.0,0.0,44.0,15.7,-1.337,2.446,9.189,Urbaine,-8.00693138642452,14.763532356220837,73.15530476268846,2.2769767070907534,timid,2020-08-26 19:28:03,0
1,34.72392058,10.72048689,24.0,1929.0,14.9,44.0,20.4,-1.5590000000000002,4.09,8.882,Urbaine,-9.062386893146673,24.406900264082502,63.79286707983358,2.737747583179626,timid,2020-08-26 19:28:07,0
1,34.72408325,10.72078519,29.0,2363.0,41.2,44.0,22.7,-1.271,3.258,8.935,Urbaine,-7.61525775410678,19.857940622757386,68.65372697042287,1.7426887226879515,timid,2020-08-26 19:28:11,0
1,34.72426628,10.72108572,32.0,2499.0,26.3,44.0,20.4,-1.399,3.452,9.223,Urbaine,-8.088842919931556,20.315514163773987,68.03739299943332,0.6912444652457452,timid,2020-08-26 19:28:15,0
1,34.72444403,10.72139862,34.0,2680.0,27.1,44.0,20.8,-1.3230000000000002,3.1460000000000004,8.907,Urbaine,-7.976089431075139,19.266143095477727,69.0640206728324,1.176089366929844,timid,2020-08-26 19:28:19,0
1,34.72463616,10.72172753,34.0,2627.0,12.2,44.0,17.3,-1.45,3.08,9.085,Urbaine,-8.599026971595775,18.51750249303933,69.48784672372743,2.1384083617814507,timid,2020-08-26 19:28:23,0
1,34.72482706,10.7220703,33.0,2589.0,23.5,44.0,18.8,-1.278,3.137,8.953,Urbaine,-7.675669808683821,19.13817272889358,69.30531850102867,0.4813976691181736,timid,2020-08-26 19:28:27,0
1,34.72502444,10.72239553,33.0,2646.0,23.1,44.0,20.0,-1.394,3.446,9.358,Urbaine,-7.961004037533486,20.02120593001997,68.3644311796862,6.546251829879623,timid,2020-08-26 19:28:31,0
1,34.72521987,10.72271153,30.0,2391.0,5.5,44.0,16.5,-1.179,2.15,9.896,Urbaine,-6.643460751943129,12.179207474155078,76.11560076765255,5.46854171770692,timid,2020-08-26 19:28:35,0
1,34.72533039,10.72294652,17.0,1349.0,0.0,44.0,15.3,-1.49,2.9130000000000003,8.953,Urbaine,-8.996762045226818,17.80162952710547,69.95428783429699,3.852393104122875,timid,2020-08-26 19:28:39,0
1,34.7254439,10.72313802,22.0,1736.0,45.9,44.0,18.8,-1.186,3.647,8.673,Urbaine,-7.18756502907929,22.627299964692767,66.17407035044627,2.289786168686703,timid,2020-08-26 19:28:43,0
1,34.72559778,10.72344259,31.0,2489.0,60.8,44.0,25.5,-0.86,3.516,9.096,Urbaine,-5.0418915855813555,21.05698748537767,68.32935877621559,0.26740980482372834,timid,2020-08-26 19:28:47,0
1,34.72573108,10.72373489,36.0,2853.0,25.1,44.0,21.2,-1.317,3.14,9.876,Urbaine,-7.245663214999947,17.499777012125598,71.0070310903825,1.868987807252424,timid,2020-08-26 19:28:50,0
1,34.72589544,10.7240998,33.0,2580.0,8.2,44.0,16.9,-0.984,2.6860000000000004,9.711,Urbaine,-5.580260120706163,15.392579608371856,73.61771958390234,0.7290418711870075,timid,2020-08-26 19:28:54,0
1,34.72599977,10.72431261,28.0,2200.0,13.7,44.0,16.9,-1.375,2.9210000000000003,9.229,Urbaine,-8.087756191612987,17.38992239510854,70.74927159905971,3.5548825301743534,timid,2020-08-26 19:28:57,0
1,34.72610593,10.72453631,21.0,1630.0,4.3,44.0,15.3,-1.475,3.011,9.334,Urbaine,-8.556404780031684,17.68092396048161,70.27086902327167,70.3911993921782,timid,2020-08-26 19:29:01,0
1,34.72617183,10.72465548,14.0,848.0,17.6,44.0,14.9,-3.1,2.73,9.069,Urbaine,-18.13172448403116,15.906006229938939,65.53949172888447,22.533181028922453,timid,2020-08-26 19:29:04,0
1,34.72629297,10.72463557,13.0,1067.0,26.3,44.0,17.6,-1.42,3.928,9.08,Urbaine,-8.171489745549593,23.151847579136273,65.32521913867933,0.07823738875839581,timid,2020-08-26 19:29:08,0
1,34.7264539,10.72453553,24.0,1931.0,62.7,45.0,30.2,-1.139,2.509,9.342,Urbaine,-6.718478342736777,14.93404626039702,73.59762707219487,7.689910476911621,timid,2020-08-26 19:29:11,0
1,34.72668464,10.72439253,24.0,1882.0,3.9,45.0,15.3,-1.662,3.487,9.007,Urbaine,-9.767832810099907,20.851446784769326,66.81523222957347,12.823542456326154,timid,2020-08-26 19:29:15,0
1,34.72685415,10.72431671,26.0,2055.0,29.8,45.0,20.0,-1.349,3.176,9.209,Urbaine,-7.887664112155844,18.849567201126227,69.48834713193935,4.120252250520082,timid,2020-08-26 19:29:18,0
1,34.72707219,10.72415287,27.0,2120.0,23.1,45.0,18.4,-1.477,3.284,9.066,Urbaine,-8.71236975879461,19.681251447975818,68.36676539858854,4.198349495199125,timid,2020-08-26 19:29:22,0
1,34.72728553,10.72396714,25.0,2020.0,13.3,45.0,16.1,-1.277,3.05,8.958,Urbaine,-7.688698145624103,18.635297243027363,69.76955806581029,2.678836729479599,timid,2020-08-26 19:29:26,0
1,34.72745864,10.72379257,23.0,1868.0,8.6,45.0,15.3,-1.137,3.305,9.025,Urbaine,-6.749611763638004,19.97619246696189,68.85921494455056,2.247160376326974,timid,2020-08-26 19:29:30,0
1,34.72765415,10.72361303,24.0,1876.0,23.1,45.0,18.0,-1.569,3.458,9.117,Urbaine,-9.144995184240578,20.504228557720946,67.41636010596832,0.7241158109249001,timid,2020-08-26 19:29:34,0
1,34.72784068,10.72342774,24.0,1917.0,18.4,45.0,16.9,-1.705,3.07,8.816,Urbaine,-10.354862211310497,18.883293327692645,68.309950345458,0.9694449620006936,timid,2020-08-26 19:29:38,0
1,34.72801159,10.72325362,19.0,1479.0,0.0,45.0,15.3,-0.7609999999999999,2.8,9.226,Urbaine,-4.514872618911942,16.835735228649586,72.57233099791178,5.1080789568877085,timid,2020-08-26 19:29:42,0
1,34.72813131,10.72313571,15.0,1204.0,14.5,45.0,14.5,-0.687,3.367,9.178,Urbaine,-4.021456369228358,20.102635355892343,69.50275859755304,6.187093852217913,timid,2020-08-26 19:29:46,0
