Vmoy,RPMMoy,VVAR,VRPM,Target
26.4,16.56,14.87876936368656,801.0795493859798,normal
29.8,18.213,8.586811592979862,506.4512809737971,normal
34.1,21.721999999999998,13.843971812870594,636.4903420756324,normal
39.043020741155914,27.58913186898959,23.700492130432178,1199.69940174724,normal
90.3,25.27,2.4517567397911058,66.07739569794063,normal
80.6,22.588,9.008637830191397,246.65171125833825,normal
58.1,23.855999999999998,27.581998960674817,532.3366103009135,normal
20.25114504532862,14.714803176190792,21.715596347062714,747.6539251951442,normal
20.2,17.587,21.534468494330973,615.0557427312314,normal
5.213398688243833,13.087564629104689,3.69208790635775,375.1434690060066,normal
18.9,17.139,7.415449338299662,531.8338190742585,normal
31.0,17.37,7.4981479194679945,388.1422992208456,normal
35.7,17.247,5.869885480616769,283.8747963451493,normal
36.2,17.576,4.732863826479693,235.7603302791488,normal
41.3,19.963,1.3374935098492586,67.06058620547708,normal
48.5,23.544,3.7785946829182113,178.2209614807167,normal
35.0,19.997,18.390818965511627,724.9649876603237,normal
38.0,20.197,9.910712498212337,409.8281618217838,normal
21.7,16.896,16.60020080199835,729.5425050445427,normal
39.156001976672826,15.181214958522819,11.815667884510546,602.5409196085978,normal
31.2,19.57,14.649990519526702,445.0917508409549,normal
42.7,20.748,8.692908987598264,422.0386501521184,normal
37.9,20.151,8.595218308907446,345.66215040444075,normal
34.3,20.332,7.134423592694787,514.7747727566558,normal
28.8,22.25,4.848825745591515,548.5157751200558,normal
29.1,23.086,5.043147165543886,393.93631747050466,normal
23.7,20.389,7.587270040447135,634.0267169274318,normal
22.7,21.983,13.548677672255202,661.6837193436487,normal
22.9,17.822,10.27888882883532,815.960756136933,normal
39.7,21.741999999999997,5.774464862170732,343.61826364602786,normal
32.8,19.811,8.778762251403478,537.164044879319,normal
37.8,18.322,5.223876806442595,255.0018736314609,normal
42.4,20.658,12.36662174295524,587.053622385175,normal
28.6,18.324,11.491059326469621,506.9863465178875,normal
40.9,23.97,10.36500522591925,433.3515380791391,normal
33.5,15.93,11.872002545672085,325.5388695003341,normal
43.5,15.312000000000001,5.70087712549569,204.0026143623328,normal
17.1,13.888,9.21894185299424,253.63175405825405,normal
32.2,17.553,10.336558636434297,476.59767565992644,normal
39.2,20.147000000000002,11.99814800523629,523.1171634219878,normal
39.8,18.684,11.292081788187293,458.3582296268571,normal
37.0,22.447,10.295630140987,331.7345156731341,normal
46.95219817093098,16.893115837460876,7.305471035376347,1191.7876536428773,normal
69.1112804250231,23.30614069967071,19.391624103810557,799.9617644766091,normal
65.9,23.936,20.333060107453903,832.5575322129063,normal
71.8,25.233,26.288146885367684,843.5724364602933,normal
59.1,21.201999999999998,23.144233743106632,652.4343815451653,normal
66.1,18.816,23.853487981611597,625.9324067163944,normal
20.8,18.549,7.315128919650775,307.7663074477127,normal
17.8,14.429,15.619076655025275,534.7401134092045,normal
40.7,19.827,2.8303906287138374,134.0804484877145,normal
44.3,21.516,1.4181364924121764,61.12137287579707,normal
46.3,22.546,2.7908580918579307,138.9373959738702,normal
39.6,20.461,7.545418035691153,388.85542871926634,normal
69.3,20.45,13.57325802205695,274.0296009963563,normal
81.7,22.898000000000003,0.9486832980505138,26.703308159602,normal
81.9,23.019000000000002,0.9944289260117533,25.916318325633284,normal
84.2,23.656,3.457680661303984,93.85355021995113,normal
81.1,26.255,10.03826014141229,245.2772807343649,normal
89.1,24.929000000000002,1.66332999331662,41.89789175284758,normal
85.3,23.965999999999998,2.9832867780352594,81.59139388168066,normal
83.8,23.49,4.1041983924323695,107.08667309966985,normal
81.7,22.921999999999997,1.888562063228706,49.393656812725794,normal
71.38788010316321,23.184672056266344,18.01138553487977,165.46693158980295,normal
65.5354428317866,23.0962765965859,21.119925310732665,459.3615426728805,normal
89.3,25.112,0.6749485577105528,16.611910051392513,normal
77.77948803030982,21.094401264793802,21.176550426050262,728.3127654249023,normal
46.64470477746026,22.323621710947354,6.300919356389493,386.8810868170638,normal
30.6,18.894000000000002,12.738393409950357,569.3257610737654,normal
36.8,19.67,12.425779653607254,539.2873898849192,normal
27.7,16.725,13.174470261329928,674.8506419118892,normal
42.934205248889626,20.97275820654303,26.654422609080232,996.3615898945086,normal
88.1,25.156,2.4244128727957572,167.8869990334107,normal
72.5,20.131,24.464259645450134,691.5972575615571,normal
57.8,24.076,25.819028297405428,459.8229611008519,normal
86.9,24.445,1.449137674618944,43.523301549604184,normal
88.6,24.819000000000003,2.0110804171997807,56.81050372363665,normal
86.8,24.320999999999998,2.043961295567452,53.2717352615604,normal
86.8,24.325,1.4757295747452437,40.88805856644863,normal
84.6,23.719,2.1186998109427604,60.906941768205336,normal
52.5,20.515,25.294927027634085,754.5805678211793,normal
40.1,19.808,7.964504588066563,633.7519318401413,normal
48.5,23.476999999999997,3.9791121287711073,190.4602904077966,normal
44.4,21.569000000000003,1.7126976771553504,85.86869821613307,normal
